导演,导演英文名,主要创作地区,导演风格关键词,作品类型,代表作,年份
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,不散,2003
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,天边一朵云,2005
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,郊游,2013
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,旺角卡门,1988
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,阿飞正传,1990
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,东邪西毒,1994
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,重庆森林,1994
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,堕落天使,1995
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,春光乍泄,1997
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,花样年华,2000
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,2046,2004
王家卫,Wong Kar-wai,中国香港,霓虹色彩；抽帧运动；狭窄空间；时间碎片,真人电影,一代宗师,2013
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,暗战,1999
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,枪火,1999
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,PTU,2003
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,柔道龙虎榜,2004
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,黑社会,2005
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,黑社会2：以和为贵,2006
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,放逐,2006
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,文雀,2008
杜琪峰,Johnnie To,中国香港,几何站位；城市夜景；群像调度；宿命感,真人电影,毒战,2012
胡金铨,King Hu,中国香港／中国台湾,山水空间；戏曲节奏；门窗框景；禅意武侠,真人电影,大醉侠,1966
胡金铨,King Hu,中国香港／中国台湾,山水空间；戏曲节奏；门窗框景；禅意武侠,真人电影,龙门客栈,1967
胡金铨,King Hu,中国香港／中国台湾,山水空间；戏曲节奏；门窗框景；禅意武侠,真人电影,侠女,1971
胡金铨,King Hu,中国香港／中国台湾,山水空间；戏曲节奏；门窗框景；禅意武侠,真人电影,忠烈图,1975
胡金铨,King Hu,中国香港／中国台湾,山水空间；戏曲节奏；门窗框景；禅意武侠,真人电影,空山灵雨,1979
胡金铨,King Hu,中国香港／中国台湾,山水空间；戏曲节奏；门窗框景；禅意武侠,真人电影,山中传奇,1979
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,蝶变,1979
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,新蜀山剑侠,1983
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,上海之夜,1984
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,黄飞鸿,1991
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,黄飞鸿之二：男儿当自强,1992
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,青蛇,1993
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,刀,1995
徐克,Tsui Hark,中国香港,动态广角；快速剪辑；奇诡美术；武侠想象,真人电影,狄仁杰之通天帝国,2010
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,疯劫,1979
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,投奔怒海,1982
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,女人四十,1995
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,男人四十,2002
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,天水围的日与夜,2008
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,桃姐,2011
许鞍华,Ann Hui,中国香港,日常空间；克制表演；都市记忆；细腻写实,真人电影,黄金时代,2014
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,红高粱,1988
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,菊豆,1990
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,大红灯笼高高挂,1991
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,秋菊打官司,1992
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,活着,1994
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,一个都不能少,1999
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,我的父亲母亲,1999
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,英雄,2002
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,十面埋伏,2004
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,满城尽带黄金甲,2006
张艺谋,Zhang Yimou,中国大陆,高饱和色彩；对称构图；民俗空间；仪式调度,真人电影,影,2018
陈凯歌,Chen Kaige,中国大陆,土地与仪式；历史寓言；舞台性；宏大构图,真人电影,黄土地,1984
陈凯歌,Chen Kaige,中国大陆,土地与仪式；历史寓言；舞台性；宏大构图,真人电影,孩子王,1987
陈凯歌,Chen Kaige,中国大陆,土地与仪式；历史寓言；舞台性；宏大构图,真人电影,霸王别姬,1993
陈凯歌,Chen Kaige,中国大陆,土地与仪式；历史寓言；舞台性；宏大构图,真人电影,荆轲刺秦王,1998
陈凯歌,Chen Kaige,中国大陆,土地与仪式；历史寓言；舞台性；宏大构图,真人电影,妖猫传,2017
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,小武,1998
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,站台,2000
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,任逍遥,2002
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,世界,2004
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,三峡好人,2006
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,天注定,2013
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,山河故人,2015
贾樟柯,Jia Zhangke,中国大陆,县城景观；纪实长镜头；流行音乐；社会变迁,真人电影,江湖儿女,2018
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,苏州河,2000
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,紫蝴蝶,2003
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,颐和园,2006
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,春风沉醉的夜晚,2009
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,浮城谜事,2012
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,推拿,2014
娄烨,Lou Ye,中国大陆,手持摄影；城市迷雾；主观视点；破碎剪辑,真人电影,风中有朵雨做的云,2019
姜文,Jiang Wen,中国大陆,强烈节奏；夸张视角；荒诞寓言；历史想象,真人电影,阳光灿烂的日子,1994
姜文,Jiang Wen,中国大陆,强烈节奏；夸张视角；荒诞寓言；历史想象,真人电影,鬼子来了,2000
姜文,Jiang Wen,中国大陆,强烈节奏；夸张视角；荒诞寓言；历史想象,真人电影,太阳照常升起,2007
姜文,Jiang Wen,中国大陆,强烈节奏；夸张视角；荒诞寓言；历史想象,真人电影,让子弹飞,2010
姜文,Jiang Wen,中国大陆,强烈节奏；夸张视角；荒诞寓言；历史想象,真人电影,邪不压正,2018
刁亦男,Diao Yinan,中国大陆,冷色霓虹；工业边缘；黑色电影；陌生化空间,真人电影,白日焰火,2014
刁亦男,Diao Yinan,中国大陆,冷色霓虹；工业边缘；黑色电影；陌生化空间,真人电影,南方车站的聚会,2019
毕赣,Bi Gan,中国大陆,梦境长镜头；潮湿县城；霓虹暗部；时间折叠,真人电影,路边野餐,2015
毕赣,Bi Gan,中国大陆,梦境长镜头；潮湿县城；霓虹暗部；时间折叠,真人电影,地球最后的夜晚,2018
毕赣,Bi Gan,中国大陆,梦境长镜头；潮湿县城；霓虹暗部；时间折叠,真人电影,狂野时代,2025
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,醉天使,1948
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,野良犬,1949
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,罗生门,1950
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,生之欲,1952
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,七武士,1954
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,蜘蛛巢城,1957
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,战国英豪,1958
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,用心棒,1961
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,椿三十郎,1962
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,天国与地狱,1963
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,红胡子,1965
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,德尔苏·乌扎拉,1975
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,影武者,1980
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,乱,1985
黑泽明,Akira Kurosawa,日本,天气调度；动态群像；长焦层次；史诗构图,真人电影,梦,1990
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,我出生了，但……,1932
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,晚春,1949
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,麦秋,1951
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,东京物语,1953
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,早安,1959
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,浮草,1959
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,秋日和,1960
小津安二郎,Yasujiro Ozu,日本,低机位；正面构图；空镜过渡；日常节律,真人电影,秋刀鱼之味,1962
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,浪华悲歌,1936
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,祇园姊妹,1936
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,残菊物语,1939
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,西鹤一代女,1952
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,雨月物语,1953
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,祇园歌女,1953
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,山椒大夫,1954
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,近松物语,1954
沟口健二,Kenji Mizoguchi,日本,流动长镜头；卷轴式空间；纵深场面；悲剧克制,真人电影,赤线地带,1956
铃木清顺,Seijun Suzuki,日本,平面化构图；跳跃剪辑；浓烈色块；超现实叙事,真人电影,刺青一代,1965
铃木清顺,Seijun Suzuki,日本,平面化构图；跳跃剪辑；浓烈色块；超现实叙事,真人电影,东京流浪汉,1966
铃木清顺,Seijun Suzuki,日本,平面化构图；跳跃剪辑；浓烈色块；超现实叙事,真人电影,杀手烙印,1967
铃木清顺,Seijun Suzuki,日本,平面化构图；跳跃剪辑；浓烈色块；超现实叙事,真人电影,流浪者之歌,1980
铃木清顺,Seijun Suzuki,日本,平面化构图；跳跃剪辑；浓烈色块；超现实叙事,真人电影,阳炎座,1981
铃木清顺,Seijun Suzuki,日本,平面化构图；跳跃剪辑；浓烈色块；超现实叙事,真人电影,梦二,1991
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,猪与军舰,1961
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,日本昆虫记,1963
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,赤色杀意,1964
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,诸神的欲望,1968
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,复仇在我,1979
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,楢山节考,1983
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,黑雨,1989
今村昌平,Shohei Imamura,日本,民俗空间；身体写实；底层群像；黑色幽默,真人电影,鳗鱼,1997
寺山修司,Shuji Terayama,日本,舞台化空间；拼贴影像；民俗幻象；实验叙事,真人电影,抛掉书本上街去,1971
寺山修司,Shuji Terayama,日本,舞台化空间；拼贴影像；民俗幻象；实验叙事,真人电影,死者田园祭,1974
寺山修司,Shuji Terayama,日本,舞台化空间；拼贴影像；民俗幻象；实验叙事,真人电影,再见箱舟,1984
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,凶暴的男人,1989
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,那年夏天，宁静的海,1991
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,奏鸣曲,1993
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,坏孩子的天空,1996
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,花火,1997
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,菊次郎的夏天,1999
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,玩偶,2002
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,座头市,2003
北野武,Takeshi Kitano,日本,静态构图；突发暴力；冷面幽默；海边空镜,真人电影,极恶非道,2010
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,幻之光,1995
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,下一站，天国,1998
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,无人知晓,2004
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,步履不停,2008
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,如父如子,2013
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,海街日记,2015
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,比海更深,2016
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,小偷家族,2018
是枝裕和,Hirokazu Kore-eda,日本,自然光；生活细节；家庭空间；情感留白,真人电影,怪物,2023
岩井俊二,Shunji Iwai,日本,柔光逆光；手持质感；音乐蒙太奇；青春记忆,真人电影,情书,1995
岩井俊二,Shunji Iwai,日本,柔光逆光；手持质感；音乐蒙太奇；青春记忆,真人电影,梦旅人,1996
岩井俊二,Shunji Iwai,日本,柔光逆光；手持质感；音乐蒙太奇；青春记忆,真人电影,燕尾蝶,1996
岩井俊二,Shunji Iwai,日本,柔光逆光；手持质感；音乐蒙太奇；青春记忆,真人电影,关于莉莉周的一切,2001
岩井俊二,Shunji Iwai,日本,柔光逆光；手持质感；音乐蒙太奇；青春记忆,真人电影,花与爱丽丝,2004
岩井俊二,Shunji Iwai,日本,柔光逆光；手持质感；音乐蒙太奇；青春记忆,真人电影,瑞普·凡·温克尔的新娘,2016
黑泽清,Kiyoshi Kurosawa,日本,空旷室内；远景凝视；画外空间；日常异化,真人电影,X圣治,1997
黑泽清,Kiyoshi Kurosawa,日本,空旷室内；远景凝视；画外空间；日常异化,真人电影,回路,2001
黑泽清,Kiyoshi Kurosawa,日本,空旷室内；远景凝视；画外空间；日常异化,真人电影,光明的未来,2003
黑泽清,Kiyoshi Kurosawa,日本,空旷室内；远景凝视；画外空间；日常异化,真人电影,东京奏鸣曲,2008
黑泽清,Kiyoshi Kurosawa,日本,空旷室内；远景凝视；画外空间；日常异化,真人电影,岸边之旅,2015
黑泽清,Kiyoshi Kurosawa,日本,空旷室内；远景凝视；画外空间；日常异化,真人电影,间谍之妻,2020
河濑直美,Naomi Kawase,日本,自然声场；森林光影；手持近观；生命循环,真人电影,萌之朱雀,1997
河濑直美,Naomi Kawase,日本,自然声场；森林光影；手持近观；生命循环,真人电影,沙罗双树,2003
河濑直美,Naomi Kawase,日本,自然声场；森林光影；手持近观；生命循环,真人电影,殡之森,2007
河濑直美,Naomi Kawase,日本,自然声场；森林光影；手持近观；生命循环,真人电影,第二扇窗,2014
河濑直美,Naomi Kawase,日本,自然声场；森林光影；手持近观；生命循环,真人电影,澄沙之味,2015
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,共同警备区,2000
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,我要复仇,2002
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,老男孩,2003
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,亲切的金子,2005
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,蝙蝠,2009
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,斯托克,2013
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,小姐,2016
朴赞郁,Park Chan-wook,韩国,精密构图；浓烈色彩；装饰性空间；黑色幽默,真人电影,分手的决心,2022
奉俊昊,Bong Joon-ho,韩国,类型混合；阶层空间；群体调度；荒诞转折,真人电影,杀人回忆,2003
奉俊昊,Bong Joon-ho,韩国,类型混合；阶层空间；群体调度；荒诞转折,真人电影,汉江怪物,2006
奉俊昊,Bong Joon-ho,韩国,类型混合；阶层空间；群体调度；荒诞转折,真人电影,母亲,2009
奉俊昊,Bong Joon-ho,韩国,类型混合；阶层空间；群体调度；荒诞转折,真人电影,雪国列车,2013
奉俊昊,Bong Joon-ho,韩国,类型混合；阶层空间；群体调度；荒诞转折,真人电影,玉子,2017
奉俊昊,Bong Joon-ho,韩国,类型混合；阶层空间；群体调度；荒诞转折,真人电影,寄生虫,2019
李沧东,Lee Chang-dong,韩国,克制写实；人物困境；生活空间；暧昧叙事,真人电影,绿鱼,1997
李沧东,Lee Chang-dong,韩国,克制写实；人物困境；生活空间；暧昧叙事,真人电影,薄荷糖,1999
李沧东,Lee Chang-dong,韩国,克制写实；人物困境；生活空间；暧昧叙事,真人电影,绿洲,2002
李沧东,Lee Chang-dong,韩国,克制写实；人物困境；生活空间；暧昧叙事,真人电影,密阳,2007
李沧东,Lee Chang-dong,韩国,克制写实；人物困境；生活空间；暧昧叙事,真人电影,诗,2010
李沧东,Lee Chang-dong,韩国,克制写实；人物困境；生活空间；暧昧叙事,真人电影,燃烧,2018
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,猪堕井的那天,1996
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,处女心经,2000
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,剧场前,2005
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,北村方向,2011
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,这时对，那时错,2015
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,独自在夜晚的海边,2017
洪常秀,Hong Sang-soo,韩国,固定长镜头；突发变焦；重复变奏；日常对话,真人电影,江边旅馆,2018
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,正午显影,2000
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,祝福,2002
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,热带疾病,2004
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,恋爱症候群,2006
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,能召回前世的布米叔叔,2010
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,幻梦墓园,2015
阿彼察邦·韦拉斯哈古,Apichatpong Weerasethakul,泰国,热带长镜头；自然声场；梦境现实；幽灵日常,真人电影,记忆,2021
陈英雄,Tran Anh Hung,越南／法国,湿润光影；触觉细节；缓慢移动；热带色彩,真人电影,青木瓜之味,1993
陈英雄,Tran Anh Hung,越南／法国,湿润光影；触觉细节；缓慢移动；热带色彩,真人电影,三轮车夫,1995
陈英雄,Tran Anh Hung,越南／法国,湿润光影；触觉细节；缓慢移动；热带色彩,真人电影,夏天的滋味,2000
陈英雄,Tran Anh Hung,越南／法国,湿润光影；触觉细节；缓慢移动；热带色彩,真人电影,法式火锅,2023
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,何处是我朋友的家,1987
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,特写,1990
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,生生长流,1992
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,橄榄树下的情人,1994
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,樱桃的滋味,1997
阿巴斯·基亚罗斯塔米,Abbas Kiarostami,伊朗,远景留白；道路空间；纪录虚构交叠；开放结尾,真人电影,随风而逝,1999
